foods,PN,for_mania,for_starter,for_vegitarian,index,mild,normal,saulty,sour,spicy,sweet
aehobakbokkeum,761,2145,1828,627,0,307,155,286,322,1070,441
albap,93,91,70,8,1,6,35,1,5,10,3
baechukimchi,4521,7838,6079,2043,2,788,1040,655,955,2932,1072
baekkimchi,206,235,163,108,3,8,17,2,7,36,1
bibimbap,9564,13045,9647,2626,11,1013,2568,666,1311,3564,1001
bibimnaengmyeon,217,281,189,28,7,12,123,6,26,65,15
bossam,284,429,315,84,10,27,90,47,41,135,50
buchukimchi,18,21,15,3,13,4,0,0,1,3,1
bugeotguk,37,38,21,5,14,5,16,3,5,2,2
bulgogi,8522,12915,9482,2563,15,1149,2255,808,1273,4654,1560
chonggakkimchi,29,25,17,4,17,1,7,0,2,4,2
dakbokkeumtang,94,130,77,33,21,5,59,5,11,32,8
dakgalbi,649,1138,846,333,22,130,131,99,146,578,186
doenjangjjigae,3243,3918,2823,733,47,256,880,174,369,837,231
dongeurangttaeng,36,32,29,6,25,3,18,0,2,7,1
dongtaejjigae,40,48,35,7,26,3,9,0,4,11,2
dotorimuk,3,4,3,0,27,0,2,0,1,1,1
dubujorim,987,2589,2186,779,29,368,159,336,385,1529,528
dubukimchi,146,156,124,15,30,13,64,8,8,29,10
ehobakbokkeum,22,22,8,4,77,1,14,0,0,2,1
eomukbokkeum,361,355,223,51,32,16,122,4,12,75,11
friedchicken,3956,7560,5946,1260,33,894,1127,674,871,3562,1983
gajibokkeum,774,2157,1832,628,34,307,157,286,326,1072,442
galbigui,12936,18133,12574,3598,137,1744,4217,774,1577,3192,1311
galbijjim,77,107,80,10,36,11,42,12,10,30,10
galbitang,364,490,345,56,37,24,147,31,18,103,29
galchigui,1,0,1,0,38,0,1,0,0,0,0
gamjachaebokkeum,841,2218,1875,637,39,309,179,287,326,1086,445
gamjajeon,786,1224,995,408,40,111,127,95,178,400,161
gamjajorim,219,305,221,52,41,23,86,19,38,77,54
gamjatang,872,1841,1365,295,42,152,465,189,126,689,149
ganjanggejang,30,48,35,5,145,3,13,4,1,10,6
gimbap,1281,1462,996,247,45,75,460,42,91,263,95
gochujangjinmichaebokkeum,95,79,40,1,46,2,17,0,0,12,1
gochutwigim,54,73,51,15,47,9,11,4,1,22,7
godeungeogui,46,65,55,6,48,6,25,3,4,17,3
gomguk-seolleongtang,165,197,147,12,99,13,66,8,9,21,11
gopchanggui,0,2,1,1,51,2,1,0,0,1,0
gopchangjeongol,0,2,1,1,52,2,1,0,0,1,0
gosarinamul,774,2159,1841,633,53,307,156,286,324,1071,441
gyelangug,32,36,33,10,54,2,7,0,2,9,6
gyeranfry,1411,2209,1562,938,141,181,532,136,218,672,250
gyeranjjim,314,490,355,129,57,51,132,46,59,171,71
gyeranmari,983,2374,2006,656,184,320,234,289,336,1112,450
haemuljjim,46,58,53,12,59,6,18,1,3,17,2
hangwa,1,2,2,2,61,0,0,0,0,1,1
hobakjeon,137,156,126,28,62,19,32,3,21,42,6
hobakjuk,176,195,135,20,63,18,59,8,22,38,9
hoemuchim,0,1,1,0,65,0,2,0,0,0,0
hongeomuchim,0,0,1,0,66,0,1,0,1,1,0
hunjeori,3,5,5,0,68,0,4,0,0,0,0
jajangmyeon,622,946,669,131,70,77,300,56,134,273,141
